BioSample ID	Experiment type	extraction answer	mapping answer ID	mapping answer label
SAMN28451483	ATAC-Seq			
SAMN28590829	Histone	WM1205	CVCL:5239	1205Lu
SAMN28591123	ATAC-Seq	16HBE14o-	CVCL:0112	16HBE14o-
SAMN28861861	ATAC-Seq			
SAMN28956647	ATAC-Seq	C20		
SAMN29017063	TFs and others	RCC4	CVCL:0498	RCC4
SAMN29058346	TFs and others			
SAMN29379479	ATAC-Seq	U87T		
SAMN29471218	ATAC-Seq			
SAMN29494169	Histone	GSC23	CVCL:DR59	GSC23
SAMN29506915	Histone	MDA-MB-231	CVCL:0062	MDA-MB-231
SAMN29635247	ATAC-Seq			
SAMN29758246	ATAC-Seq			
SAMN29765851	ATAC-Seq			
SAMN29937875	ATAC-Seq			
SAMN30002429	ATAC-Seq			
SAMN30058156	Histone	H446	CVCL:1562	NCI-H446
SAMN30078849	Histone	12Z	CVCL:0Q73	12Z
SAMN30128311	ATAC-Seq	TeloHAEC	CVCL:Z065	TeloHAEC
SAMN30129308	Histone	Eahy926	CVCL:3901	EA.hy 926
SAMN30135366	Histone	CCMCL1	CVCL:RU10	CCMCL1
SAMN30244111	ATAC-Seq			
SAMN30262167	ATAC-Seq			
SAMN30273402	ATAC-Seq			
SAMN30319254	Histone			
SAMN30445145	ATAC-Seq			
SAMN30522784	ATAC-Seq			
SAMN30566529	ATAC-Seq			
SAMN30685543	ATAC-Seq	PDX MEFX 2090		
SAMN30812687	Histone	H460	CVCL:0459	NCI-H460
SAMN30827487	ATAC-Seq	RPTEC	CVCL:K278	RPTEC/TERT1
SAMN30926673	ATAC-Seq	H1	CVCL:9771	WA01
SAMN31028474	ATAC-Seq	LHCN-M2	CVCL:8890	LHCN-M2
SAMN31065847	ATAC-Seq			
SAMN31137568	ATAC-Seq			
SAMN31169508	ATAC-Seq			
SAMN31247208	ATAC-Seq			
SAMN31247264	Histone			
SAMN31313810	ATAC-Seq			
SAMN31420899	TFs and others			
SAMN31526619	ATAC-Seq	HL-60	CVCL:0002	HL-60
SAMN31836779	Histone	U2OS	CVCL:0042	U2OS
SAMN31972300	ATAC-Seq			
SAMN31976306	TFs and others	OCIAML-3	CVCL:1844	OCI-AML-3
SAMN32010992	Histone			
SAMN32889638	ATAC-Seq	U937	CVCL:0007	U-937
SAMN32953939	TFs and others	SUM149	CVCL:3422	SUM149PT
SAMN32991376	ATAC-Seq			
SAMN33006350	ATAC-Seq	SH-EP	CVCL:0524	SH-EP
SAMN33229061	ATAC-Seq	FS4		
SAMN33483290	ATAC-Seq			
SAMN33483302	ATAC-Seq	HCT-116	CVCL:0291	HCT 116
SAMN33798205	ATAC-Seq			
SAMN33832125	ATAC-Seq	FT282	CVCL:A4AX	hTERT FT282
SAMN33874701	ATAC-Seq			
SAMN33941752	ATAC-Seq	MV4-11	CVCL:0064	MV4-11
SAMN33948782	ATAC-Seq			
SAMN34091162	Histone	HUDEP1	CVCL:VI05	HUDEP-1
SAMN34298236	ATAC-Seq			
SAMN34426038	TFs and others			
SAMN34441476	ATAC-Seq			
SAMN35369678	Histone	UK022		
SAMN35448386	TFs and others	HUES8	CVCL:B207	HUES 8
SAMN36407488	ATAC-Seq	22PC	CVCL:LI38	CWR22Pc
