SRX7262452	hg38	ATAC-Seq	ATAC-Seq	Others	Bladder cancer	NA	46067636,63.6,22.9,35670	GSM4201674: ATAC-seq from Luminal2/BMP k.o CAF; Homo sapiens; ATAC-seq	source_name=Human bladder tumor organoid	subtype=luminal	tissue=Bladder tumor	passages=7-10	genotype=wild type	description=BMP4, 5 were knocked out in surrounding reconstituted CAF
SRX9863198	hg38	ATAC-Seq	ATAC-Seq	Pancreas	MIA Paca-2	Primary Tissue=Pancreas|Tissue Diagnosis=Carcinoma	98976150,26.2,38.0,17692	GSM5024021: Resistant-untreated replicate 1 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=Miapaca2 cell line	cell line=Miapaca2	phenotype=LDHA inhibitor resistant	treatment=untreated
SRX9917799	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Heart	MeSH Description=The hollow, muscular organ that maintains the circulation of the blood.	51311748,61.0,16.0,642	GSM5029759: DCM-9 ATAC; Homo sapiens; ATAC-seq	source_name=heart tissue	tissue=heart	method=ATAC-Seq	factor=NA	condition=dilated cardiomyopathy
SRX9963828	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	Stomach	MeSH Description=An organ of digestion situated in the left upper quadrant of the abdomen between the termination of the ESOPHAGUS and the beginning of the DUODENUM.	41483398,97.8,62.1,3282	GSM5047887: stomach SM-JF1O3; Homo sapiens; ATAC-seq	source_name=stomach	sample type=normal	sample preparation=flash-frozen tissue	donor sex=female	race=asian	Cause of death=cerebral vascular accident
SRX9969338	hg38	ATAC-Seq	ATAC-Seq	Lung	Bronchoalveolar Lavage	MeSH Description=Washing out of the lungs with saline or mucolytic agents for diagnostic or therapeutic purposes. It is very useful in the diagnosis of diffuse pulmonary infiltrates in immunosuppressed patients.	56781934,78.5,14.9,13258	GSM5048465: ATAC-Seq Pre-exposure prophylaxis sample 34, Alveolar macrophage, Mycobacterium tuberculosis challenged library; Homo sapiens; ATAC-seq	source_name=bronchoalveolar lavage	ethnicity=Asian	Sex=male	age=42	sexually transmitted infections=Chlamydia â€“ 2017	quantiferon tb reagent=no	cd4 count=208	prescription drugs=Truvada	active ingredient=Emtricitabine, Tenofovir_DF	art start year=2016	recreational drugs=no	cigarette smoker=no	bal sampling date=2019/10/31	mtb challenged=yes	average tagmented library size=992	fragments in clean bam=38937371	sequencing run=6	lane=1,2
SRX9986869	hg38	ATAC-Seq	ATAC-Seq	Others	Tonsil	NA	214929601,0.0,24.0,94545	GSM5051508: Tonsil 7 scATAC-seq; Homo sapiens; ATAC-seq	source_name=Tonsil_scATAC-seq	subject status=children and adults undergoing routine tonsillectomy	tissue=tonsil
SRX9998155	hg38	ATAC-Seq	ATAC-Seq	Bone	Chondrocytes	MeSH Description=Polymorphic cells that form cartilage.	269386135,97.9,46.7,67553	GSM5058586: Pubis; Homo sapiens; ATAC-seq	source_name=Human Pubis E53-54	cell type=chondrocytes	tissue=Pubis	reagent=tn5 transposase
SRX10000132	hg38	ATAC-Seq	ATAC-Seq	Pancreas	Pancreatic ductal adenocarcinoma	NA	30088383,87.8,70.7,28185	GSM5058792: MiaPaCa2 ATAC rep2; Homo sapiens; ATAC-seq	source_name=Pancreatic Ductal Adenocarcinoma (PDAC) cell line	cell type=MiaPaCa2 wild-type cell line	growth protocol=DMEM supplemented with 10% Fetal Bovine Serum, 2mM L-Glutamine and 1% Pen/Strep	antibody=none	treatment=Bulk cell line, untreated
SRX10031259	hg38	ATAC-Seq	ATAC-Seq	Blood	CD8+ T cells	NA	61892743,76.8,24.0,17251	GSM5066035: mock-treated CD8 T cell -rep2; Homo sapiens; ATAC-seq	source_name=mock-treated CD8 T cell	cell type=blood cell	cell subtype=CD8+ T cell	treatment1=CD2/CD3/CD28 activated	treatment2=untreated
SRX10142223	hg38	ATAC-Seq	ATAC-Seq	Breast	BT-549	Primary Tissue=Breast|Tissue Diagnosis=Adenocarcinoma Ductal	33394253,91.3,42.7,28971	GSM5098141: ATAC-seq BT549 rep2; Homo sapiens; ATAC-seq	source_name=Triple negative breast cancer B cell	cell line=BT549	cell type=Triple negative breast cancer B
SRX10158015	hg38	ATAC-Seq	ATAC-Seq	Lung	BEAS-2B	Primary Tissue=Lung|Tissue Diagnosis=Normal	93971072,91.7,13.8,75108	GSM5103028: Beas-2B 120WSP-2 ATAC-seq; Homo sapiens; ATAC-seq	source_name=BEAS-2B airway epithelial cells	cell line=BEAS-2B	cell type=airway epithelial cells
SRX10159883	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H1437	Primary Tissue=Lung|Site of Extraction=Effusion, Pleural|Tissue Diagnosis=Carcinoma Non-Small Cell	10390000,91.5,4.7,44493	GSM5104202: bATAC-Human H1437 KEAP1 Rep2; Homo sapiens; ATAC-seq	source_name=Immortalized cell line	cell line=NCIH1437	tissue/cell type=lung cancer	treatment=n/a	timepoint of treatment=n/a	source=human derived (ATCC)	growth media=RPMI; 10% FBS; 1% pen-strep
SRX10167199	hg38	ATAC-Seq	ATAC-Seq	Others	Tumor	NA	51511570,72.4,13.8,829	GSM5106085: ATACT3; Homo sapiens; ATAC-seq	source_name=Tumor tissue from patient 3 (ATAC-seq)	patient=3	diagnosis=Esophageal squamous cell carcinoma	tissue=Tumor tissue	age=64	Stage=IIb	smoking=Ever-smoker	histological grade=2	lymph node metastasis=No
SRX10196775	hg38	ATAC-Seq	ATAC-Seq	Blood	Multiple Myeloma	MeSH Description=A malignancy of mature PLASMA CELLS engaging in monoclonal immunoglobulin production. It is characterized by hyperglobulinemia, excess Bence-Jones proteins (free monoclonal IMMUNOGLOBULIN LIGHT CHAINS) in the urine, skeletal destruction, bone pain, and fractures. Other features include ANEMIA; HYPERCALCEMIA; and RENAL INSUFFICIENCY.	25196901,98.6,47.0,17276	GSM5117457: ATAC-Seq 1557-fresh; Homo sapiens; ATAC-seq	source_name=multiple myeloma patient bone marrow aspirates	markers=CD138+CD38+PI-	cryopreserved=FALSE
SRX10231439	hg38	ATAC-Seq	ATAC-Seq	Neural	ARPE-19	Primary Tissue=Eye|Tissue Diagnosis=Normal	22957723,83.3,29.2,11560	GSM5133614: ATAC ARPE19 rep2; Homo sapiens; ATAC-seq	source_name=Retinal pigment epithelial cell line	cell type=retinal pigment epithelial cell	cell line=ARPE-19
SRX10335226	hg38	ATAC-Seq	ATAC-Seq	Breast	Mammary cells	NA	732577238,95.7,0.2,20853	GSM5171165: TM-1956 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=subcutaneous mastectomy (gender affirmation surgery)	gender identity=trans-male	tissue=mammary tissue	hormone therapy=Testosterone	menstrual status=menstruation seized	age=22
SRX10375578	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	Colon cancer	NA	23806810,57.7,50.6,249	Butyrate18 rep2 ATAC	isolate=HCT116	age=NA	biomaterial_provider=Ami Bhatt	sex=NA	tissue=colon cancer cell line	sample_type=18h	treatment=Butyrate	replicate=2
SRX10520014	hg38	ATAC-Seq	ATAC-Seq	Prostate	Prostate adenocarcinoma	NA	65158489,50.0,1.0,29	GSM5227197: Sample 15 Prostate Tumor; Homo sapiens; ATAC-seq	source_name=Prostate adenocarcinoma	gleason score=4+4
SRX10525416	hg38	ATAC-Seq	ATAC-Seq	Prostate	VCaP	Primary Tissue=Prostate|Tissue Diagnosis=Carcinoma	38967915,87.3,13.8,7142	GSM5227755: VCaP AU R2 8h (ATAC-seq); Homo sapiens; ATAC-seq	source_name=VCaP	cell line=VCaP	treatment=AU-15330	cancer type=prostate cancer
SRX10596951	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived melanocytes	NA	46056424,86.3,32.5,37266	GSM5240129: Sample MEL 3xKO ATAD2 dox rep2; Homo sapiens; ATAC-seq	source_name=hPSC-derived melanocytes	cell type=melanocytes	genotype=KO of RB1, TP53 and P16; BRAFV600E and ATAD2 expression	treatment=doxycycline
SRX10600379	hg38	ATAC-Seq	ATAC-Seq	Liver	Hep 3B	Primary Tissue=Liver|Tissue Diagnosis=Carcinoma	62165249,96.2,40.2,9551	GSM5240737: 24hr ATAC-seq rep2; Homo sapiens; ATAC-seq	source_name=Hepatocellular Carcinoma	cell line=Hep3B	treatment=24hr IFNγ
SRX10654369	hg38	ATAC-Seq	ATAC-Seq	Breast	SUM 149PT	Primary Tissue=Breast|Tissue Diagnosis=Adenocarcinoma Ductal	30421314,59.2,16.0,64738	GSM5258442: Clone M2 replicate 1 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=Clone M2	cell type=ER-/PR- IBC	cell line=SUM149PT_M2	cell line origin=SUM149PT
SRX10661422	hg38	ATAC-Seq	ATAC-Seq	Blood	K-562	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Chronic Myelogenous	10777452,96.5,54.7,5543	GSM5259067: ATAC-seq from K562 (ENCLB006SCY); Homo sapiens; ATAC-seq	sample_type=cell line	sex=female	dev_stage=adult	age=53 year	donor ID=ENCDO000AAD	lab=Will Greenleaf, Stanford	source=ATCC	treatments=treatment_term_id: CHEBI:137116; treatment_term_name: JQ1; treatment_type: chemical; duration: 48; duration_units: hour;	cell line=K562	health state=chronic myelogenous leukemia (CML)
SRX10772718	hg38	ATAC-Seq	ATAC-Seq	Blood	DND-41	Primary Tissue=Blood|Tissue Diagnosis=Leukemia	25068368,96.0,26.0,16027	GSM5281753: DND41Cas9 LEF1 TCF1 KO d6 ATAC rep3; Homo sapiens; ATAC-seq	source_name=DND41 cell line	cell line=DND41 cell line	cell type=T-ALL cell line	lentiviral transduction=Cas9 and LEF1+TCF1-targeting sgRNA
SRX10774956	hg38	ATAC-Seq	ATAC-Seq	Blood	Jurkat (Clone E6-1)	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Lymphocytic	44777474,96.8,23.6,8806	GSM5282149: JurkatCas9 TCF1g5 ATACseq rep2; Homo sapiens; ATAC-seq	source_name=Jurkat E6-1 cell line	cell line=Jurkat E6-1 cell line	cell type=T-ALL cell line	lentiviral transduction=Cas9 and TCF1-targeting sgRNA
SRX13555145	hg38	ATAC-Seq	ATAC-Seq	Others	AC7	NA	57331015,98.3,26.7,66531	GSM5765307: ATACseq.AC7.SMARCE1.KO.ATAC.GFP.Rep2; Homo sapiens; ATAC-seq	source_name=cancer cell line	cell line=AC7	experimental condition=lentivirus: full lengh GFP	chip antibody=N/A
SRX10859642	hg38	ATAC-Seq	ATAC-Seq	Neural	Brain	MeSH Description=The part of CENTRAL NERVOUS SYSTEM that is contained within the skull (CRANIUM). Arising from the NEURAL TUBE, the embryonic brain is comprised of three major parts including PROSENCEPHALON (the forebrain); MESENCEPHALON (the midbrain); and RHOMBENCEPHALON (the hindbrain). The developed brain consists of CEREBRUM; CEREBELLUM; and other structures in the BRAIN STEM.	185350773,97.0,7.9,13	GSM5292864: Sample-40 (snATAC-seq); Homo sapiens; ATAC-seq	source_name=AD brain	age=90	Sex=male	pmi=3.75	diagnosis=AD	brain region=FC	isolation=unbiased total nuclei isolation
SRX10860242	hg38	ATAC-Seq	ATAC-Seq	Blood	MM.1S	Primary Tissue=Blood|Tissue Diagnosis=Multiple Myeloma	43584204,96.9,65.3,13959	GSM5290704: ATACseq MM1S A241 2hours; Homo sapiens; ATAC-seq	source_name=Multiple Myeloma	cell line=MM1.S	timepoint=2 hours
SRX10984851	hg38	ATAC-Seq	ATAC-Seq	Lung	WI-38	Primary Tissue=Lung|Tissue Diagnosis=Normal	76553617,22.3,24.1,35460	GSM5341063: RS atac hTERT TP4 C; Homo sapiens; ATAC-seq	source_name=WI-38	cell line=WI-38	time course=RS timecourse	population doublings=64	time point/day=TP4	extract protocol=Cells were trypsinized, washed and pelleted. Cell concentration was determined and 100,000 cells were carried forward per reaction
SRX11033167	hg38	ATAC-Seq	ATAC-Seq	Kidney	786-O	Primary Tissue=Kidney|Tissue Diagnosis=Adenocarcinoma	14947910,58.0,11.2,21932	GSM5349918: 786-O DPF3a ATAC-seq; Homo sapiens; ATAC-seq	source_name=786-O cells	cell line=786-O	cell type=renal cell carcinoma (RCC) cell line	genotype/variation=DPF3a overexpression
SRX11096689	hg38	ATAC-Seq	ATAC-Seq	Blood	NALM-6	Primary Tissue=Blood|Tissue Diagnosis=Leukemia	851196,98.6,93.9,0	GSM5365284: NALM-6 CARTtreated 24h sc0001 [H10 S176]; Homo sapiens; ATAC-seq	source_name=B-cell precursor leukemia cell line NALM-6	cell line=NALM-6	treatment=CAR T-cells	library strategy=scATAC-seq
SRX11101822	hg38	ATAC-Seq	ATAC-Seq	Neural	HRPEpiC	Tissue=epithelium|Lineage=ectoderm|Description=retinal pigment epithelial cells	36271920,98.5,69.4,16149	GSM5366623: Ctrl.ATAC.ES.rep2; Homo sapiens; ATAC-seq	source_name=Retinal Pigmented Epithelial	cell type=RPE	genotype/variation=Control	cell cycle phase=early S
SRX11112297	hg38	ATAC-Seq	ATAC-Seq	Blood	LP-1	Primary Tissue=Blood|Tissue Diagnosis=Multiple Myeloma	73266142,86.1,58.4,34860	GSM5368884: s-2 LP-1 WT; Homo sapiens; ATAC-seq	source_name=LP-1	tissue=cell strain	cell type=myeloma
SRX11169322	hg38	ATAC-Seq	ATAC-Seq	Prostate	C4-2B	NA	541672421,41.9,39.4,54322	GSM5387836: C42B sgKIF4A rep1 [ATAC-Seq]; Homo sapiens; ATAC-seq	source_name=castration resistant prostate cancer	cell type=castration resistant prostate cancer	cell line=C4-2B	treatment=sgKIF4A
SRX11222450	hg38	ATAC-Seq	ATAC-Seq	Prostate	22Rv1	Primary Tissue=Prostate|Tissue Diagnosis=Carcinoma	73379839,98.2,20.4,101984	GSM5399620: 22Rv1 ATAC 48hr Rep3; Homo sapiens; ATAC-seq	source_name=22Rv1	cell type=cancer cell line	treatment=48hr MYCi - 10 µM
SRX11242580	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Fibroblast-induced cardiomyocyte	NA	14578851,30.3,10.4,1746	GSM5403571: 5F D14 ATAC-seq; Homo sapiens; ATAC-seq	source_name=fibroblast-induced cardiomyocyte	cell type=fibroblast-induced cardiomyocyte
SRX11243857	hg38	ATAC-Seq	ATAC-Seq	Pancreas	BxPC-3	Primary Tissue=Pancreas|Tissue Diagnosis=Adenocarcinoma	153024716,58.0,30.6,40115	GSM5404717: B C 2 ATAC; Homo sapiens; ATAC-seq	source_name=Pancreatic cancer	cell line=BxPC-3	tissue=Pancreatic cancer	treatment=C	time point=ctrl	replicate=2
SRX11245148	hg38	ATAC-Seq	ATAC-Seq	Lung	DMS 53	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Small Cell	31417238,97.3,14.5,45548	GSM5406010: ATAQ-PM1183 R1; Homo sapiens; ATAC-seq	source_name=ATAQ-Seq material from SCLC samples treated 0 or 4h with a dna binding drug	cell type=DMS-53	treatment=treated with biotinilated PM01183 50nM for 4 hours
SRX11349291	hg38	ATAC-Seq	ATAC-Seq	Blood	MOLM-13	Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Myelogenous	41616005,0.0,0.9,8472	GSM5417463: MOLM13-RES cells, V3; Homo sapiens; ATAC-seq	source_name=Bone marrow, AML	cell line=MOLM13-RES	treatment cohort=Vehicle
SRX11365229	hg38	ATAC-Seq	ATAC-Seq	Blood	PBMC	Tissue=blood|Lineage=mesoderm|Description=peripheral blood mononuclear cells	19090177,96.0,42.3,22248	GSM5421204: A S8085; Homo sapiens; ATAC-seq	source_name=PBMC	donor type=Older	donor id=ND473	age=62	Sex=male	cmv serostatus=NA	cell type=CD8	cell subset=CD8_EM1	library preparation group=3	sample acquisition location=UPenn
SRX11376896	hg38	ATAC-Seq	ATAC-Seq	Neural	Peripheral nerve sheath tumor	NA	23157446,97.7,8.4,77685	GSM5429605: M3 sgSUZ12 rep2; Homo sapiens; ATAC-seq	source_name=human malignant peripheral nerve sheath tumor cells	cell type=human MPNST tumor-derived cell line	treatment=PBS	suz12=Knockout	prc2 status=loss
SRX11465146	hg38	ATAC-Seq	ATAC-Seq	Muscle	SU-CCS-1	Tissue=Soft Tissue|Cell Type=Clear Cell Sarcoma Cell Line|Disease=Clear Cell Sarcoma	82737098,91.7,74.5,27059	GSM5454897: SUCCS1 wt ATAC 1; Homo sapiens; ATAC-seq	source_name=Cell line	cell type=Derived from the pleural effusion of a 16 year old Caucasian girl with a heel CCS tumor	treatment=untreated	cell line=SU-CCS-1 (RRID:CVCL_B470)
SRX11555375	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	DLD-1	Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma	19795946,44.8,19.7,20334	GSM5471933: ATAC Spt5 Control rep2 DLD1; Homo sapiens; ATAC-seq	source_name=SPT5-dTAG DLD1	cell type=colorectal adenocarcinoma cell lines	treatment=untreated
SRX11563368	hg38	ATAC-Seq	ATAC-Seq	Adipocyte	Adipose-derived stem cells	NA	36832462,40.8,16.8,19967	GSM5474462: 8h rep1; Homo sapiens; ATAC-seq	source_name=adipose	cell type=Adipose-Derived Stem Cells	time point=8hour
SRX11616617	hg38	ATAC-Seq	ATAC-Seq	Bone	HT-1080	Primary Tissue=Bone|Tissue Diagnosis=Fibrosarcoma	29824508,66.5,28.4,24511	GSM5493536: High concentration rep 4; Homo sapiens; ATAC-seq	source_name=fibrosarcoma cell	cell line=HT1080	treatment=MMP inhibitor GM6001 (Millipore, 20 μM)	collagen matrix concentration=1.7 mg/mL of rat tail type-I collagen (Corning)
SRX11766139	hg38	ATAC-Seq	ATAC-Seq	Neural	Pituitary Gland	MeSH Description=A small, unpaired gland situated in the SELLA TURCICA. It is connected to the HYPOTHALAMUS by a short stalk which is called the INFUNDIBULUM.	26671619,93.8,19.7,1815	GSM5520147: ATAC-seq N2; Homo sapiens; ATAC-seq	source_name=normal pituitary tissues	tissue=normal pituitary tissues
SRX11832930	hg38	ATAC-Seq	ATAC-Seq	Others	Mesenchymal Stromal Cells	MeSH Description=Mesenchymal stromal cells found in WHARTON JELLY, in the perivascular, intervascular, and subamnion regions of the UMBILICAL CORD. They are fibroblastic in appearance, rich in hyaluronic acid, and have been induced to form bone, cartilage, and adipose cells in vitro.	145328006,59.2,59.0,49553	GSM5530255: WAT atac rep3; Homo sapiens; ATAC-seq	source_name=WAT MSC	cell type=WAT-derived mesenchymal stromal cell
SRX11919269	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived mesendodermal cells	NA	43775902,74.0,40.8,22462	GSM5538081: DE DAY1 - ATAC Rep1; Homo sapiens; ATAC-seq	source_name=Induced pluripotent stem cells	developmental stage=Day 1 mesendoderm
SRX11984654	hg38	ATAC-Seq	ATAC-Seq	Prostate	LNCAP	Primary Tissue=Prostate|Tissue Diagnosis=Carcinoma	35073117,34.2,1.4,8182	GSM5553089: 42D-ENZR-shASCL1-ATAC; Homo sapiens; ATAC-seq	source_name=42D Prostate cancer cell line generated from mouse xenograft of LNCaP	cell type=ENZ-resistant CRPC-NE	treatment=Enzalutamide	disease state=AR positive, Neuro Endocrine like	shRNA=shASCL1
SRX12123174	hg38	ATAC-Seq	ATAC-Seq	Blood	SU-DHL-4	Primary Tissue=Blood|Tissue Diagnosis=Lymphoma B-cell	24829791,95.8,21.4,42726	GSM5571602: SUDH4 Control rep1 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=SUDH4	crispri knock down=Non-targeting Control	cell line=SUDH4
SRX12199858	hg38	ATAC-Seq	ATAC-Seq	Neural	IMR-32	Primary Tissue=Brain|Tissue Diagnosis=Neuroblastoma	32509672,90.3,24.7,37178	GSM5582116: IMR32 1 siCtrl r1; Homo sapiens; ATAC-seq	source_name=IMR32 Cells	cell type=Neuroblastoma	transfection=siCtrl
SRX12250128	hg38	ATAC-Seq	ATAC-Seq	Neural	Retina	MeSH Description=The ten-layered nervous tissue membrane of the eye. It is continuous with the OPTIC NERVE and receives images of external objects and transmits visual impulses to the brain. Its outer surface is in contact with the CHOROID and the inner surface with the VITREOUS BODY. The outer-most layer is pigmented, whereas the inner nine layers are transparent.	105284255,96.2,46.2,103120	GSM5585605: FD74 + 4DIV; Homo sapiens; ATAC-seq	source_name=fetal retal	treatment=control	culture=4DIV
SRX12287218	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Skin	MeSH Description=The outer covering of the body that protects it from the environment. It is composed of the DERMIS and the EPIDERMIS.	157894107,93.9,35.0,18623	GSM5589395: ATAC-Seq skin SM-IOBHT; Homo sapiens; ATAC-seq	source_name=skin non sun exposed	sample type=normal	biosample=flash-frozen tissue	donor sex=female	race=asian	case of death=cerebral vascular accident
SRX12684078	hg38	ATAC-Seq	ATAC-Seq	Uterus	HeLa	Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma	122243983,97.8,24.1,106622	GSM5638904: VH298 rep2; Homo sapiens; ATAC-seq	source_name=HeLa_VH298	cell line=HeLa	treatment=100 µM VH298 for 24 hs
SRX12878009	hg38	ATAC-Seq	ATAC-Seq	Blood	KARPAS-422	Primary Tissue=Blood|Tissue Diagnosis=Lymphoma Non-Hodgkins	31862257,99.1,39.6,42798	GSM5663912: Karpas422 ATAC-Seq; Homo sapiens; ATAC-seq	source_name=Karpas422 cell line	cell line=Karpas422	cell type=Diffuse large B-cell lymphoma cell line	transgene=NA	drug treatment=NA
SRX12905236	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Pericytes	MeSH Description=Unique slender cells with multiple processes extending along the capillary vessel axis and encircling the vascular wall, also called mural cells. Pericytes are imbedded in the BASEMENT MEMBRANE shared with the ENDOTHELIAL CELLS of the vessel. Pericytes are important in maintaining vessel integrity, angiogenesis, and vascular remodeling.	50934348,97.5,57.1,39024	GSM5667134: [ATAC-Seq] Human brain pericytes T10; Homo sapiens; ATAC-seq	source_name=Human brain pericytes	group=Transdifferentiating	time=10 min	treatment=N2 medium
SRX13058909	hg38	ATAC-Seq	ATAC-Seq	Cardiovascular	Coronary artery cells	NA	96546824,42.4,22.1,11880	GSM5681658: 068 Coronary artery bulk ATAC; Homo sapiens; ATAC-seq	source_name=Coronary artery	tissue=Coronary artery (LAD)	age=57	Sex=female
SRX13087789	hg38	ATAC-Seq	ATAC-Seq	Breast	SK-BR-3	Primary Tissue=Breast|Tissue Diagnosis=Adenocarcinoma	24836496,98.9,10.3,32705	GSM5684379: SKBR3 2; Homo sapiens; ATAC-seq	source_name=SKBR3	cell line=SKBR3	cell type=Breast cancer cells	cell type=HER2 positive
SRX13432027	hg38	ATAC-Seq	ATAC-Seq	Epidermis	HaCaT	Primary Tissue=Skin|Tissue Diagnosis=Normal	55038981,8.5,10.9,18053	GSM5739030: WT.m2; Homo sapiens; ATAC-seq	source_name=Keratinocyte	treatment=untreated	cell line=HaCat	genotype=WT
SRX13466318	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived cardiac cells	NA	35527873,98.0,14.3,62302	GSM5745675: day07.ATAC.Rep2; Homo sapiens; ATAC-seq	source_name=ES derived cardiac progenitor cells	tissue=ES derived cardiac progenitor cells	differentiation time=day07	genotype=H9 MLC2v:H2B	chip antibody=none	perturbation=wild type
SRX13456583	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived trophoblast cells	NA	65994520,88.1,0.0,942	GSM5742999: Naive primed D30ASECRiAV 10XscATACseq; Homo sapiens; ATAC-seq	source_name=Primed and naive hPSCs, hTSCs and EXMCs.	cell type=mix of human naive pluripotent stem cells (H9 and Sigma), primed pluripotent stem cells (H9 and Sigma), trophoblast stem cells (Sigma) and extraembryonic mesoderm cells (Sigma), all samples were pooled in one.	cell line=H9 (primed, and naive hPSCs) and Sigma (primed hPSCs, naive hPSCs, day 30 ASECRiAV conversion (trophobast stem cells and extraembryonic mesoderm cells)
SRX13489192	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived mesodermal cells	NA	106196401,93.7,43.1,137965	GSM5747971: mesoderm R1; Homo sapiens; ATAC-seq	source_name=hPSC-derived mesoderm cells	Stage=mesoderm
SRX13551223	hg38	ATAC-Seq	ATAC-Seq	Adipocyte	Adipose stem cells	NA	28690537,98.7,43.8,42219	GSM5764467: hs Sub1 ATAC-seq abd rep2; Homo sapiens; ATAC-seq	source_name=subcutaneous abdominal ASC	cell type=hASCs	method=ATAC-seq	antibody=none
SRX13660490	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H1975	Primary Tissue=Lung|Tissue Diagnosis=Adenocarcinoma	43679013,98.1,10.8,83748	GSM5777984: H1975 osi DTP AZD5153 combo-2 [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=Cell Line	cell line=H1975	treatment=osimertinib DTPs + AZD5153
SRX13711142	hg38	ATAC-Seq	ATAC-Seq	Pancreas	AsPC-1	Primary Tissue=Pancreas|Tissue Diagnosis=Adenocarcinoma	62232255,66.7,14.6,30815	GSM5799846: AsPC-1 shOAT #1 ATAC rep1; Homo sapiens; ATAC-seq	source_name=AsPC-1 cells	cell line=AsPC-1	shRNA=shOAT #1
SRX13811222	hg38	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	hESC derived fibroblasts	NA	33924577,44.8,13.5,22337	GSM5821109: Day14 TBX 20 Replicate 1 [ATAC-Seq]; Homo sapiens; ATAC-seq	source_name=iCM fibroblasts	cell type=ESC H9 derived fibroblasts H9F	treatment=MGT + TBX20
SRX13811143	hg38	ATAC-Seq	ATAC-Seq	Blood	Lymphoblastoid cell line	Tissue=blood|Lineage=mesoderm|Description=parental cell type to lymphoblastoid cell lines	19459369,97.5,1.1,507	GSM5791930: Case3 gDNA LCL ATAC; Homo sapiens; ATAC-seq	source_name=human lymphoblastoid cell line	phenotype=affected	condition=experimental control - ATAC performed on genomic DNA
SRX13823956	hg38	ATAC-Seq	ATAC-Seq	Prostate	Prostate cancer	NA	141458003,69.1,15.3,40488	GSM5823628: PDX01a; Homo sapiens; ATAC-seq	source_name=prostate cancer PDX	primary site=Prostate	biopsy site=lymph node	sample type=prostate cancer PDX
SRX13898044	hg38	ATAC-Seq	ATAC-Seq	Blood	HUDEP-2	NA	168986870,89.8,20.1,33847	GSM5833760: B9 DMSO 4h; Homo sapiens; ATAC-seq	source_name=HUDEP2 cells	cell type=immortalized human erythroid progenitor cells	cell line=HUDEP2	treatment=treated with DMSO by 4h
SRX13910456	hg38	ATAC-Seq	ATAC-Seq	Epidermis	A-375	Primary Tissue=Skin|Tissue Diagnosis=Melanoma	59687527,93.7,20.5,103179	GSM5835526: K9M 2; Homo sapiens; ATAC-seq	source_name=A375	cell type=Melanoma	cell line=A375	transfection=mScarlet-H3.3(K9M)
SRX13899587	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Foreskin	MeSH Description=The double-layered skin fold that covers the GLANS PENIS, the head of the penis.	33730255,93.1,48.2,62014	GSM5835119: hFFs, siC, rep1; Homo sapiens; ATAC-seq	source_name=hFFs, siC	genotype=control	treatment=untreated	cell type=human foreskin fibroblasts (hFFs)
SRX13926941	hg38	ATAC-Seq	ATAC-Seq	Kidney	Kidney Cortex	MeSH Description=The outer zone of the KIDNEY, beneath the capsule, consisting of KIDNEY GLOMERULUS; KIDNEY TUBULES, DISTAL; and KIDNEY TUBULES, PROXIMAL.	350896180,0.0,19.2,0	GSM5837798: DN4 snATACseq; Homo sapiens; ATAC-seq	source_name=Human Kidney Cortex - DN4	Sex=male	age=78	race=Non-hispanic White	egfr=73	global glomerulosclerosis=Mild, 10 - 25%	ifta=26-50%
SRX14223171	hg38	ATAC-Seq	ATAC-Seq	Kidney	293	Primary Tissue=Kidney|Tissue Diagnosis=Normal	57173144,32.0,39.1,17473	HTS data of cells treated with genome editing agent	isolate=not applicable	age=not applicable	biomaterial_provider=ATCC	sex=not applicable	tissue=not applicable	cell_line=HEK293T	treatment=Fig3g-ND5-2-dead-DddA6-read1-rep2
